,dtype,unique_values,missing_count,missing_percentage,is_numeric,inf_count,zero_percentage,skewness,constant,near_constant
Fwd IAT Std,float64,700313,0,0.0,True,0,62.74674175649291,3.4109794197335908,False,False
Fwd IAT Max,int64,437316,0,0.0,True,0,25.149298258443103,2.909589967338421,False,False
Fwd IAT Min,int64,110631,0,0.0,True,0,26.277835889729307,9.712721428309493,False,False
Bwd IAT Total,int64,414928,0,0.0,True,0,44.14031934372001,2.884194495313071,False,False
Bwd IAT Mean,float64,670824,0,0.0,True,0,44.14031934372001,8.250627022865293,False,False
Bwd IAT Std,float64,709042,0,0.0,True,0,71.33208489785191,5.7929267965887465,False,False
Bwd IAT Max,int64,368285,0,0.0,True,0,44.14031934372001,4.435718199889343,False,False
Bwd IAT Min,int64,66074,0,0.0,True,0,44.50471130724336,9.923703379059642,False,False
Fwd PSH Flags,int64,2,0,0.0,True,0,95.35535370042425,4.310324030433898,False,False
Bwd PSH Flags,int64,1,0,0.0,True,0,100.0,0.0,True,True
Fwd URG Flags,int64,2,0,0.0,True,0,99.98887217949492,94.78130272482831,False,True
Bwd URG Flags,int64,1,0,0.0,True,0,100.0,0.0,True,True
Fwd Header Length,int64,3771,0,0.0,True,0,0.06210383634261393,-1325.073809383881,False,False
Bwd Header Length,int64,3945,0,0.0,True,0,16.025863174438655,-717.0313039453313,False,False
Fwd Packets/s,float64,1220423,0,0.0,True,0,0.10534336744805163,5.684943793528891,False,False
Bwd Packets/s,float64,1107886,0,0.0,True,0,16.06012979631143,21.489044501157036,False,False
Min Packet Length,int64,215,0,0.0,True,0,47.47898343297148,10.193305602796991,False,False
Max Packet Length,int64,5708,0,0.0,True,0,12.615945707540387,2.815075536846063,False,False
Packet Length Mean,float64,215826,0,0.0,True,0,12.615945707540387,2.3958664310213287,False,False
Packet Length Std,float64,412246,0,0.0,True,0,25.189994287718807,2.882675809875704,False,False
Packet Length Variance,float64,405565,0,0.0,True,0,25.189994287718807,5.393806380917156,False,False
FIN Flag Count,int64,2,0,0.0,True,0,96.46202428125761,5.030055112614846,False,False
SYN Flag Count,int64,2,0,0.0,True,0,95.35535370042425,4.310324030433898,False,False
RST Flag Count,int64,2,0,0.0,True,0,99.97576607978894,64.21411164430033,False,True
PSH Flag Count,int64,2,0,0.0,True,0,70.19294934227516,0.8829248359057895,False,False
ACK Flag Count,int64,2,0,0.0,True,0,68.41557145950728,0.7923214887588971,False,False
URG Flag Count,int64,2,0,0.0,True,0,90.51768387310328,2.765991913056269,False,False
CWE Flag Count,int64,2,0,0.0,True,0,99.98887217949492,94.78130272482831,False,True
ECE Flag Count,int64,2,0,0.0,True,0,99.97566010054604,64.07405871962325,False,True
Down/Up Ratio,int64,31,0,0.0,True,0,37.02847626930456,12.004054302595748,False,False
Average Packet Size,float64,212207,0,0.0,True,0,12.615945707540387,2.490553735951981,False,False
Avg Fwd Segment Size,float64,99716,0,0.0,True,0,15.867565511952161,9.135766045183045,False,False
Avg Bwd Segment Size,float64,147611,0,0.0,True,0,25.002128416461684,2.5192831324163105,False,False
Fwd Header Length.1,int64,3771,0,0.0,True,0,0.06210383634261393,-1325.073809383881,False,False
Fwd Avg Bytes/Bulk,int64,1,0,0.0,True,0,100.0,0.0,True,True
Fwd Avg Packets/Bulk,int64,1,0,0.0,True,0,100.0,0.0,True,True
Fwd Avg Bulk Rate,int64,1,0,0.0,True,0,100.0,0.0,True,True
Bwd Avg Bytes/Bulk,int64,1,0,0.0,True,0,100.0,0.0,True,True
Bwd Avg Packets/Bulk,int64,1,0,0.0,True,0,100.0,0.0,True,True
Bwd Avg Bulk Rate,int64,1,0,0.0,True,0,100.0,0.0,True,True
Subflow Fwd Packets,int64,1432,0,0.0,True,0,0.0,244.38055300505061,False,False
Subflow Fwd Bytes,int64,17928,0,0.0,True,0,15.867565511952161,803.5985915171941,False,False
Subflow Bwd Packets,int64,1747,0,0.0,True,0,16.021200087750813,244.6795073937269,False,False
Subflow Bwd Bytes,int64,64738,0,0.0,True,0,25.002128416461684,244.3353008521819,False,False
Init_Win_bytes_forward,int64,12151,0,0.0,True,0,3.5245516813076994,2.5623640468574567,False,False
Init_Win_bytes_backward,int64,13112,0,0.0,True,0,9.605004763766969,5.252338607484763,False,False
act_data_pkt_fwd,int64,1093,0,0.0,True,0,34.016652165173596,284.5952275363737,False,False
min_seg_size_forward,int64,28,0,0.0,True,0,0.06454135892944007,-474.5352652609782,False,False
Active Mean,float64,326325,0,0.0,True,0,80.25857522212367,38.233556792533115,False,False
Active Std,float64,202826,0,0.0,True,0,92.73922076288805,40.471707205800996,False,False
Active Max,int64,299565,0,0.0,True,0,80.25857522212367,24.351813063374106,False,False
Active Min,int64,175670,0,0.0,True,0,80.25857522212367,47.68400638905294,False,False
Idle Mean,float64,222016,0,0.0,True,0,79.95992571561601,3.0654885109602286,False,False
Idle Std,float64,197616,0,0.0,True,0,91.90166680620601,10.493403947078571,False,False
Idle Max,int64,149737,0,0.0,True,0,79.95992571561601,2.951288968176639,False,False
Idle Min,int64,223888,0,0.0,True,0,79.95992571561601,3.184530811272156,False,False
Label,str,15,0,0.0,False,0,,,False,False
