,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage,zero_count,zero_percentage,skewness,kurtosis,max_to_median_ratio,skew_category,zero_dominated,high_outlier_rate
Flow Packets/s,2830743.0,inf,,-2000000.0,3.44622571255,110.6684374,23255.81395,inf,0,0.0,0,0.0,5.483328521205783,35.2263616115808,inf,Extreme,False,True
Flow IAT Mean,2830743.0,1298448.708665391,4507944.173794317,-13.0,63.66666667,11438.84211,337426.6,120000000.0,0,0.0,2867,0.1012808298033414,9.141139703043832,128.3557142638011,10490.572283980935,Extreme,False,True
Flow IAT Std,2830743.0,2919270.91875488,8045869.77965458,0.0,0.0,137.1787156,691266.2815,84800261.5664079,0,0.0,998326,35.26727788428692,3.644056259320159,15.333043741238455,618173.6080229628,Very High,False,True
Flow IAT Max,2830743.0,9182475.317050682,24459539.2508425,-13.0,123.0,30865.0,2440145.0,120000000.0,0,0.0,2866,0.10124550338903955,2.919461512365456,7.14676346797988,3887.8989146282197,Very High,False,True
Flow IAT Min,2830743.0,162379.56178430893,2950281.7768057273,-14.0,3.0,4.0,64.0,120000000.0,0,0.0,75669,2.6731144438050367,24.066069068068217,641.5674953471278,30000000.0,Extreme,False,True
Fwd IAT Total,2830743.0,14482961.734189222,33575811.64646707,0.0,0.0,43.0,1242843.5,120000000.0,0,0.0,711912,25.149298258443103,2.187284088913846,3.155631794476472,2790697.6744186045,Very High,False,True
Fwd IAT Mean,2830743.0,2610192.973542325,9525722.485326516,0.0,0.0,26.0,206306.35835,120000000.0,0,0.0,711912,25.149298258443103,7.162437027884598,63.619081641133036,4615384.615384615,Extreme,False,True
Fwd IAT Std,2830743.0,3266957.2220508317,9639055.400348762,0.0,0.0,0.0,65989.821745,84602929.2769822,0,0.0,1776199,62.74674175649291,3.429725802586935,11.027603891164244,,Very High,False,True
Fwd IAT Max,2830743.0,9042938.558814418,24529157.399698887,0.0,0.0,43.0,931006.0,120000000.0,0,0.0,711912,25.149298258443103,2.926937427141628,7.170305269843769,2790697.6744186045,Very High,False,True
Fwd IAT Min,2830743.0,1021892.905134447,8591436.338554349,-12.0,0.0,3.0,48.0,120000000.0,0,0.0,743858,26.277835889729307,9.893749896814427,104.246168143483,40000000.0,Extreme,False,True
Bwd IAT Total,2830743.0,9893830.350136695,28736614.19888721,0.0,0.0,3.0,98580.5,120000000.0,0,0.0,1249499,44.14031934372001,2.8929155595365708,6.869378134109936,40000000.0,Very High,False,True
Bwd IAT Mean,2830743.0,1805783.7673780406,8887197.079007307,0.0,0.0,3.0,18248.56744,120000000.0,0,0.0,1249499,44.14031934372001,8.381127425845632,81.33337707967829,40000000.0,Extreme,False,True
Bwd IAT Std,2830743.0,1485973.3473393081,6278468.565082394,0.0,0.0,0.0,15724.092965,84418013.7826341,0,0.0,2019228,71.33208489785191,5.796600126422351,37.17385309242921,,Extreme,False,True
Bwd IAT Max,2830743.0,4684692.427954428,17160950.058626805,0.0,0.0,3.0,60210.0,120000000.0,0,0.0,1249499,44.14031934372001,4.458274153998989,19.65203532082332,40000000.0,Very High,False,True
Bwd IAT Min,2830743.0,967261.3707574301,8308983.091314676,0.0,0.0,1.0,45.0,120000000.0,0,0.0,1259814,44.50471130724336,10.133862213901605,110.0216750806632,120000000.0,Extreme,False,True
Fwd PSH Flags,2830743.0,0.04644646299575765,0.2104500052666412,0.0,0.0,0.0,0.0,1.0,0,0.0,2699265,95.35535370042425,4.298716767881685,16.479097683184655,,Very High,True,False
Bwd PSH Flags,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Fwd URG Flags,2830743.0,0.00011127820505075876,0.010548263436133866,0.0,0.0,0.0,0.0,1.0,0,0.0,2830428,99.98887217949492,89.78648557703188,8059.677469694249,,Extreme,True,False
Bwd URG Flags,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Fwd Header Length,2830743.0,-25997.391975887604,21052857.873173933,-32212234632.0,40.0,64.0,120.0,4644908.0,0,0.0,1758,0.06210383634261393,251.1571148892397,65160.79008907572,72576.6875,Extreme,False,True
Bwd Header Length,2830743.0,-2273.2753195892387,1452208.9395910755,-1073741320.0,20.0,40.0,104.0,5838440.0,0,0.0,453651,16.025863174438655,250.30384689363228,64786.646704767685,145961.0,Extreme,False,True
Fwd Packets/s,2830743.0,63865.34641143761,247537.12964203066,0.0,1.7494464485,61.3252384019,12048.19277,3000000.0,0,0.0,2982,0.10534336744805163,5.6561960050838005,37.100807855545526,48919.49999997151,Extreme,False,True
Bwd Packets/s,2830743.0,6995.191742603614,38151.69768319484,0.0,0.1229197105,19.82789388,7352.941176,2000000.0,0,0.0,454621,16.06012979631143,20.3514962084906,549.5308699940132,100868.00000565666,Extreme,False,True
Min Packet Length,2830743.0,16.43450465125234,25.237720797695665,0.0,0.0,2.0,36.0,1448.0,0,0.0,1344008,47.47898343297148,7.330207439215839,283.0328601771119,724.0,Extreme,False,False
Max Packet Length,2830743.0,950.4024445172168,2028.2291463396557,0.0,6.0,87.0,525.0,24820.0,0,0.0,357125,12.615945707540387,2.8321947687887605,8.531587846627989,285.28735632183907,Very High,False,True
Packet Length Mean,2830743.0,171.944390249003,305.49146113948734,0.0,6.0,57.2,119.8,3337.142857,0,0.0,357125,12.615945707540387,2.4077967027263,5.179053787381968,58.34165833916083,Very High,False,True
Packet Length Std,2830743.0,294.9755544254998,631.800073031472,0.0,0.0,25.98076211,174.32394935000002,4731.522394,0,0.0,713064,25.189994287718807,2.8907887841620115,8.850974373714855,182.11638188160907,Very High,False,True
Packet Length Variance,2830743.0,486154.79413840704,1647489.865309903,0.0,0.0,675.0,30388.83933,22400000.0,0,0.0,713064,25.189994287718807,5.422019380014713,37.11198524343136,33185.18518518518,Extreme,False,True
FIN Flag Count,2830743.0,0.035379757187423935,0.18473776556242197,0.0,0.0,0.0,0.0,1.0,0,0.0,2730592,96.46202428125761,5.001096515331817,23.011150444803633,,Extreme,True,False
SYN Flag Count,2830743.0,0.04644646299575765,0.2104500052666412,0.0,0.0,0.0,0.0,1.0,0,0.0,2699265,95.35535370042425,4.298716767881685,16.479097683184655,,Very High,True,False
RST Flag Count,2830743.0,0.0002423392021105413,0.015565364095025081,0.0,0.0,0.0,0.0,1.0,0,0.0,2830057,99.97576607978894,63.995390807871935,4093.4427921945385,,Extreme,True,False
PSH Flag Count,2830743.0,0.29807050657724843,0.45741070560008057,0.0,0.0,0.0,1.0,1.0,0,0.0,1986982,70.19294934227516,0.8813134070116421,-1.2232964650572526,,Moderate,False,False
ACK Flag Count,2830743.0,0.31584428540492726,0.46485131936747087,0.0,0.0,0.0,1.0,1.0,0,0.0,1936669,68.41557145950728,0.789342894515957,-1.3769488105316559,,Moderate,False,False
URG Flag Count,2830743.0,0.0948231612689672,0.2929705781767338,0.0,0.0,0.0,0.0,1.0,0,0.0,2562323,90.51768387310328,2.75687356993935,5.600396683739615,,Very High,True,True
CWE Flag Count,2830743.0,0.00011127820505075876,0.010548263436133866,0.0,0.0,0.0,0.0,1.0,0,0.0,2830428,99.98887217949492,89.78648557703188,8059.677469694249,,Extreme,True,False
ECE Flag Count,2830743.0,0.00024339899453959613,0.015599353750469678,0.0,0.0,0.0,0.0,1.0,0,0.0,2830054,99.97566010054604,63.995390807871935,4093.4427921945385,,Extreme,True,False
Down/Up Ratio,2830743.0,0.6835004096097739,0.6804919860804203,0.0,0.0,1.0,1.0,156.0,0,0.0,1048181,37.02847626930456,2.9048009311619087,37.451215496137124,156.0,Very High,False,False
Average Packet Size,2830743.0,191.98365759294512,331.86034925418835,0.0,7.5,72.25,149.2639319,3893.333333,0,0.0,357125,12.615945707540387,2.5032804679691583,5.973427185397134,53.886966546712806,Very High,False,True
Avg Fwd Segment Size,2830743.0,58.20193852812372,186.09115654962315,0.0,6.0,34.0,50.0,5940.857143,0,0.0,449170,15.867565511952161,9.116801560512952,94.6874885534138,174.7310924411765,Extreme,False,True
Avg Bwd Segment Size,2830743.0,305.94928134993836,605.2568001422048,0.0,0.0,72.0,181.0,5800.5,0,0.0,707746,25.002128416461684,2.526591374674857,5.516035882020126,80.5625,Very High,False,True
Fwd Header Length.1,2830743.0,-25997.391975887604,21052857.873173933,-32212234632.0,40.0,64.0,120.0,4644908.0,0,0.0,1758,0.06210383634261393,251.1571148892397,65160.79008907572,72576.6875,Extreme,False,True
Fwd Avg Bytes/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Fwd Avg Packets/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Fwd Avg Bulk Rate,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Bwd Avg Bytes/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Bwd Avg Packets/Bulk,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Bwd Avg Bulk Rate,2830743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2830743,100.0,0.0,0.0,,Low,True,False
Subflow Fwd Packets,2830743.0,9.361159949878884,749.6727924980048,1.0,2.0,2.0,5.0,219759.0,0,0.0,0,0.0,253.06562433310236,65771.88494514914,109879.5,Extreme,False,True
Subflow Fwd Bytes,2830743.0,549.2919360747337,9980.070243937706,0.0,12.0,62.0,187.0,12870338.0,0,0.0,449170,15.867565511952161,168.58169524563817,39267.58842469774,207586.09677419355,Extreme,False,True
Subflow Bwd Packets,2830743.0,10.393770116185044,997.3882689050921,0.0,1.0,2.0,4.0,291922.0,0,0.0,453519,16.021200087750813,253.37144986683785,65983.4315206515,145961.0,Extreme,False,True
Subflow Bwd Bytes,2830743.0,16162.302467938629,2263057.2835084787,0.0,0.0,123.0,482.0,655453030.0,0,0.0,707746,25.002128416461684,253.04890863903276,65749.93118586822,5328886.422764228,Extreme,False,True
Init_Win_bytes_forward,2830743.0,6989.837446211119,14338.725836818838,-1.0,-1.0,251.0,8192.0,65535.0,0,0.0,99771,3.5245516813076994,2.5629012225468504,6.557026154819723,261.0956175298805,Very High,False,True
Init_Win_bytes_backward,2830743.0,1989.4329767838337,8456.883156982454,-1.0,-1.0,-1.0,235.0,65535.0,0,0.0,271893,9.605004763766969,5.30159281076902,30.382893765563058,-65535.0,Extreme,False,True
act_data_pkt_fwd,2830743.0,5.418217761202624,636.4256638996873,0.0,0.0,1.0,2.0,213557.0,0,0.0,962924,34.016652165173596,295.77577852018925,89537.66092952593,213557.0,Extreme,False,True
min_seg_size_forward,2830743.0,-2741.687868520738,1084989.3838169887,-536870661.0,20.0,24.0,32.0,138.0,0,0.0,1827,0.06454135892944007,0.3699898071286575,-1.0422072701560428,5.75,Low,False,False
Active Mean,2830743.0,81551.321012322,648599.936773979,0.0,0.0,0.0,0.0,110000000.0,0,0.0,2271914,80.25857522212367,40.690090199700066,4615.448165765668,,Extreme,False,True
Active Std,2830743.0,41134.11677514879,393381.51531683165,0.0,0.0,0.0,0.0,74200000.0,0,0.0,2625209,92.73922076288805,50.011573733736704,6520.399834579583,,Extreme,True,True
Active Max,2830743.0,153182.52126950416,1025824.9749109317,0.0,0.0,0.0,0.0,110000000.0,0,0.0,2271914,80.25857522212367,26.213717789265043,1687.138172431415,,Extreme,False,True
Active Min,2830743.0,58295.8177443166,577092.281910223,0.0,0.0,0.0,0.0,110000000.0,0,0.0,2271914,80.25857522212367,50.72564295053043,6891.930701941221,,Extreme,False,True
Idle Mean,2830743.0,8316036.627207768,23630078.577950556,0.0,0.0,0.0,0.0,120000000.0,0,0.0,2263460,79.95992571561601,3.084071655777058,8.220472489508037,,Very High,False,True
Idle Std,2830743.0,503843.9497793038,4602984.480672,0.0,0.0,0.0,0.0,76900000.0,0,0.0,2601500,91.90166680620601,10.544442515724148,115.62151722079035,,Extreme,True,True
Idle Max,2830743.0,8695751.984585673,24366888.32904313,0.0,0.0,0.0,0.0,120000000.0,0,0.0,2263460,79.95992571561601,2.9691549809513367,7.410920609829488,,Very High,False,True
Idle Min,2830743.0,7920031.014637146,23363418.9274783,0.0,0.0,0.0,0.0,120000000.0,0,0.0,2263460,79.95992571561601,3.2031799939022094,8.887457937211867,,Very High,False,True
