name,source,output,category,rows,columns,status,note
cicids2017_14_final_preparation_final_feature_set,cicids2017/14_final_preparation/final_feature_set.csv,supporting/cicids2017_14_final_preparation_final_feature_set.csv,supporting,78,3,exported,
cicids2018_07_dataset_overview_class_distribution,cicids2018/07_dataset_overview/class_distribution.csv,class_analysis/cicids2018_07_dataset_overview_class_distribution.csv,class_analysis,31,3,exported,
cicids2018_07_dataset_overview_class_presence_matrix,cicids2018/07_dataset_overview/class_presence_matrix.csv,class_analysis/cicids2018_07_dataset_overview_class_presence_matrix.csv,class_analysis,16,11,exported,
cicids2018_07_dataset_overview_column_inventory,cicids2018/07_dataset_overview/column_inventory.csv,dataset_quality/cicids2018_07_dataset_overview_column_inventory.csv,dataset_quality,80,2,exported,
cicids2018_07_dataset_overview_dataset_summary,cicids2018/07_dataset_overview/dataset_summary.csv,dataset_quality/cicids2018_07_dataset_overview_dataset_summary.csv,dataset_quality,6,2,exported,
cicids2018_07_dataset_overview_file_inventory,cicids2018/07_dataset_overview/file_inventory.csv,dataset_quality/cicids2018_07_dataset_overview_file_inventory.csv,dataset_quality,0,4,exported,
cicids2018_07_dataset_overview_overall_class_distribution,cicids2018/07_dataset_overview/overall_class_distribution.csv,class_analysis/cicids2018_07_dataset_overview_overall_class_distribution.csv,class_analysis,16,3,exported,
cicids2018_07_dataset_overview_row_counts,cicids2018/07_dataset_overview/row_counts.csv,supporting/cicids2018_07_dataset_overview_row_counts.csv,supporting,10,2,exported,
cicids2018_07_dataset_overview_schema_comparison,cicids2018/07_dataset_overview/schema_comparison.csv,dataset_quality/cicids2018_07_dataset_overview_schema_comparison.csv,dataset_quality,10,6,exported,
cicids2018_07_dataset_overview_schema_hygiene,cicids2018/07_dataset_overview/schema_hygiene.csv,dataset_quality/cicids2018_07_dataset_overview_schema_hygiene.csv,dataset_quality,80,6,exported,
cicids2018_07_dataset_overview_target_presence,cicids2018/07_dataset_overview/target_presence.csv,supporting/cicids2018_07_dataset_overview_target_presence.csv,supporting,10,2,exported,
cicids2018_08_feature_data_quality_column_inventory,cicids2018/08_feature_data_quality/column_inventory.csv,dataset_quality/cicids2018_08_feature_data_quality_column_inventory.csv,dataset_quality,80,2,exported,
cicids2018_08_feature_data_quality_constant_features,cicids2018/08_feature_data_quality/constant_features.csv,feature_analysis/cicids2018_08_feature_data_quality_constant_features.csv,feature_analysis,0,2,exported,
cicids2018_08_feature_data_quality_duplicate_summary,cicids2018/08_feature_data_quality/duplicate_summary.csv,dataset_quality/cicids2018_08_feature_data_quality_duplicate_summary.csv,dataset_quality,1,3,exported,
cicids2018_08_feature_data_quality_feature_quality_summary,cicids2018/08_feature_data_quality/feature_quality_summary.csv,feature_analysis/cicids2018_08_feature_data_quality_feature_quality_summary.csv,feature_analysis,1,6,exported,
cicids2018_08_feature_data_quality_high_correlation_pairs,cicids2018/08_feature_data_quality/high_correlation_pairs.csv,feature_analysis/cicids2018_08_feature_data_quality_high_correlation_pairs.csv,feature_analysis,0,3,exported,
cicids2018_08_feature_data_quality_infinite_value_summary,cicids2018/08_feature_data_quality/infinite_value_summary.csv,dataset_quality/cicids2018_08_feature_data_quality_infinite_value_summary.csv,dataset_quality,80,2,exported,
cicids2018_08_feature_data_quality_missing_value_summary,cicids2018/08_feature_data_quality/missing_value_summary.csv,dataset_quality/cicids2018_08_feature_data_quality_missing_value_summary.csv,dataset_quality,80,2,exported,
cicids2018_08_feature_data_quality_near_constant_features,cicids2018/08_feature_data_quality/near_constant_features.csv,feature_analysis/cicids2018_08_feature_data_quality_near_constant_features.csv,feature_analysis,70,2,exported,
cicids2018_08_feature_data_quality_schema_consistency_report,cicids2018/08_feature_data_quality/schema_consistency_report.csv,dataset_quality/cicids2018_08_feature_data_quality_schema_consistency_report.csv,dataset_quality,10,5,exported,
cicids2018_09_class_distribution_attack_class_distribution,cicids2018/09_class_distribution/attack_class_distribution.csv,class_analysis/cicids2018_09_class_distribution_attack_class_distribution.csv,class_analysis,15,4,exported,
cicids2018_09_class_distribution_benign_vs_attack_distribution,cicids2018/09_class_distribution/benign_vs_attack_distribution.csv,class_analysis/cicids2018_09_class_distribution_benign_vs_attack_distribution.csv,class_analysis,2,3,exported,
cicids2018_09_class_distribution_class_file_presence,cicids2018/09_class_distribution/class_file_presence.csv,class_analysis/cicids2018_09_class_distribution_class_file_presence.csv,class_analysis,16,2,exported,
cicids2018_09_class_distribution_class_imbalance_summary,cicids2018/09_class_distribution/class_imbalance_summary.csv,class_analysis/cicids2018_09_class_distribution_class_imbalance_summary.csv,class_analysis,1,7,exported,
cicids2018_09_class_distribution_class_presence_matrix,cicids2018/09_class_distribution/class_presence_matrix.csv,class_analysis/cicids2018_09_class_distribution_class_presence_matrix.csv,class_analysis,16,11,exported,
cicids2018_09_class_distribution_overall_class_distribution,cicids2018/09_class_distribution/overall_class_distribution.csv,class_analysis/cicids2018_09_class_distribution_overall_class_distribution.csv,class_analysis,16,3,exported,
cicids2018_09_class_distribution_per_file_class_distribution,cicids2018/09_class_distribution/per_file_class_distribution.csv,class_analysis/cicids2018_09_class_distribution_per_file_class_distribution.csv,class_analysis,31,4,exported,
cicids2018_10_feature_distribution_feature_distribution_summary,cicids2018/10_feature_distribution/feature_distribution_summary.csv,feature_analysis/cicids2018_10_feature_distribution_feature_distribution_summary.csv,feature_analysis,1,14,exported,
cicids2018_10_feature_distribution_feature_outlier_summary,cicids2018/10_feature_distribution/feature_outlier_summary.csv,feature_analysis/cicids2018_10_feature_distribution_feature_outlier_summary.csv,feature_analysis,1,2,exported,
cicids2018_10_feature_distribution_feature_percentiles,cicids2018/10_feature_distribution/feature_percentiles.csv,feature_analysis/cicids2018_10_feature_distribution_feature_percentiles.csv,feature_analysis,1,7,exported,
cicids2018_10_feature_distribution_highly_skewed_features,cicids2018/10_feature_distribution/highly_skewed_features.csv,feature_analysis/cicids2018_10_feature_distribution_highly_skewed_features.csv,feature_analysis,1,14,exported,
cicids2018_10_feature_distribution_zero_dominated_features,cicids2018/10_feature_distribution/zero_dominated_features.csv,feature_analysis/cicids2018_10_feature_distribution_zero_dominated_features.csv,feature_analysis,0,14,exported,
cicids2018_11_preprocessing_feature_selection_preprocessing_plan,cicids2018/11_preprocessing_feature_selection/preprocessing_plan.csv,final_decision/cicids2018_11_preprocessing_feature_selection_preprocessing_plan.csv,final_decision,11,2,exported,
cross_dataset_comparison_artifact_inventory,cross_dataset_comparison/artifact_inventory.csv,dataset_comparison/cross_dataset_comparison_artifact_inventory.csv,dataset_comparison,62,7,exported,
cross_dataset_comparison_dataset_comparison_matrix,cross_dataset_comparison/dataset_comparison_matrix.csv,dataset_comparison/cross_dataset_comparison_dataset_comparison_matrix.csv,dataset_comparison,7,6,exported,
cross_dataset_comparison_dataset_preference_assessment,cross_dataset_comparison/dataset_preference_assessment.csv,dataset_comparison/cross_dataset_comparison_dataset_preference_assessment.csv,dataset_comparison,7,4,exported,
cross_dataset_comparison_preprocessing_ml_artifact_inventory,cross_dataset_comparison/preprocessing_ml_artifact_inventory.csv,dataset_comparison/cross_dataset_comparison_preprocessing_ml_artifact_inventory.csv,dataset_comparison,13,5,exported,
final_artifact_inventory,final/artifact_inventory.csv,dataset_quality/final_artifact_inventory.csv,dataset_quality,25,2,exported,
final_ml_final_confusion_matrix,final/ml/final_confusion_matrix.csv,ml/final_ml_final_confusion_matrix.csv,ml,225,3,exported,
final_ml_final_feature_importance,final/ml/final_feature_importance.csv,supporting/final_ml_final_feature_importance.csv,supporting,69,2,exported,
final_ml_final_ml_metrics,final/ml/final_ml_metrics.csv,supporting/final_ml_final_ml_metrics.csv,supporting,1,10,exported,
final_ml_final_per_class_metrics,final/ml/final_per_class_metrics.csv,ml/final_ml_final_per_class_metrics.csv,ml,15,5,exported,
final_dataset_selection_evaluation_specification,final_dataset_selection/evaluation_specification.csv,final_decision/final_dataset_selection_evaluation_specification.csv,final_decision,8,3,exported,
final_dataset_selection_final_dataset_decision,final_dataset_selection/final_dataset_decision.csv,final_decision/final_dataset_selection_final_dataset_decision.csv,final_decision,3,3,exported,
final_dataset_selection_preprocessing_specification,final_dataset_selection/preprocessing_specification.csv,final_decision/final_dataset_selection_preprocessing_specification.csv,final_decision,14,2,exported,
final_dataset_selection_target_specification,final_dataset_selection/target_specification.csv,final_decision/final_dataset_selection_target_specification.csv,final_decision,1,3,exported,
ml_baseline_class_support,ml_baseline/class_support.csv,ml/ml_baseline_class_support.csv,ml,15,4,exported,
ml_baseline_confusion_matrix,ml_baseline/confusion_matrix.csv,ml/ml_baseline_confusion_matrix.csv,ml,225,3,exported,
ml_baseline_dummymajority_confusion_matrix,ml_baseline/DummyMajority_confusion_matrix.csv,ml/ml_baseline_dummymajority_confusion_matrix.csv,ml,225,3,exported,
ml_baseline_dummymajority_per_class_metrics,ml_baseline/DummyMajority_per_class_metrics.csv,ml/ml_baseline_dummymajority_per_class_metrics.csv,ml,15,6,exported,
ml_baseline_logisticregression_confusion_matrix,ml_baseline/LogisticRegression_confusion_matrix.csv,ml/ml_baseline_logisticregression_confusion_matrix.csv,ml,225,3,exported,
ml_baseline_logisticregression_per_class_metrics,ml_baseline/LogisticRegression_per_class_metrics.csv,ml/ml_baseline_logisticregression_per_class_metrics.csv,ml,15,6,exported,
ml_baseline_model_comparison,ml_baseline/model_comparison.csv,ml/ml_baseline_model_comparison.csv,ml,3,8,exported,
ml_baseline_per_class_metrics,ml_baseline/per_class_metrics.csv,ml/ml_baseline_per_class_metrics.csv,ml,45,6,exported,
ml_baseline_randomforest_confusion_matrix,ml_baseline/RandomForest_confusion_matrix.csv,ml/ml_baseline_randomforest_confusion_matrix.csv,ml,225,3,exported,
ml_baseline_randomforest_per_class_metrics,ml_baseline/RandomForest_per_class_metrics.csv,ml/ml_baseline_randomforest_per_class_metrics.csv,ml,15,6,exported,
