dataset,file,label,count
CIC-IDS2018,02-23-2018.csv,SQL Injection,53
CIC-IDS2018,02-28-2018.csv,Benign,544200
CIC-IDS2018,02-28-2018.csv,Label,33
CIC-IDS2018,02-28-2018.csv,Infilteration,68871
CIC-IDS2018,03-01-2018.csv,Benign,238037
CIC-IDS2018,03-01-2018.csv,Label,25
CIC-IDS2018,03-01-2018.csv,Infilteration,93063
CIC-IDS2018,03-02-2018.csv,Benign,762384
CIC-IDS2018,03-02-2018.csv,Bot,286191
CIC-DDoS2019,DNS-testing.parquet,DrDoS_DNS,3669
CIC-DDoS2019,DNS-testing.parquet,Benign,3034
CIC-DDoS2019,LDAP-testing.parquet,DrDoS_LDAP,1440
CIC-DDoS2019,LDAP-testing.parquet,Benign,1391
CIC-DDoS2019,LDAP-training.parquet,NetBIOS,246
CIC-DDoS2019,LDAP-training.parquet,LDAP,1884
CIC-DDoS2019,LDAP-training.parquet,Benign,4585
CIC-DDoS2019,MSSQL-testing.parquet,DrDoS_MSSQL,6212
CIC-DDoS2019,MSSQL-testing.parquet,Benign,1871
CIC-DDoS2019,MSSQL-training.parquet,MSSQL,8378
CIC-DDoS2019,MSSQL-training.parquet,LDAP,22
CIC-DDoS2019,MSSQL-training.parquet,Benign,2574
CIC-DDoS2019,NTP-testing.parquet,DrDoS_NTP,121368
CIC-DDoS2019,NTP-testing.parquet,Benign,13306
CIC-DDoS2019,NetBIOS-testing.parquet,DrDoS_NetBIOS,598
CIC-DDoS2019,NetBIOS-testing.parquet,Benign,1627
CIC-DDoS2019,NetBIOS-training.parquet,NetBIOS,398
CIC-DDoS2019,NetBIOS-training.parquet,Benign,1233
CIC-DDoS2019,Portmap-training.parquet,Portmap,685
CIC-DDoS2019,Portmap-training.parquet,Benign,4420
CIC-DDoS2019,SNMP-testing.parquet,DrDoS_SNMP,2717
CIC-DDoS2019,SNMP-testing.parquet,Benign,1301
CIC-DDoS2019,Syn-testing.parquet,Syn,533
CIC-DDoS2019,Syn-testing.parquet,Benign,374
CIC-DDoS2019,Syn-training.parquet,Syn,43302
CIC-DDoS2019,Syn-training.parquet,Benign,27034
CIC-DDoS2019,TFTP-testing.parquet,TFTP,98917
CIC-DDoS2019,TFTP-testing.parquet,Benign,22916
CIC-DDoS2019,UDP-testing.parquet,DrDoS_UDP,10420
CIC-DDoS2019,UDP-testing.parquet,Benign,2042
CIC-DDoS2019,UDP-training.parquet,UDP,14792
CIC-DDoS2019,UDP-training.parquet,MSSQL,145
CIC-DDoS2019,UDP-training.parquet,Benign,2833
CIC-DDoS2019,UDPLag-testing.parquet,UDP-lag,8872
CIC-DDoS2019,UDPLag-testing.parquet,WebDDoS,51
CIC-DDoS2019,UDPLag-testing.parquet,Benign,3542
CIC-DDoS2019,UDPLag-training.parquet,UDP,3298
CIC-DDoS2019,UDPLag-training.parquet,Syn,5538
CIC-DDoS2019,UDPLag-training.parquet,UDPLag,55
CIC-DDoS2019,UDPLag-training.parquet,Benign,3748
