feature,count,missing,infinite,mean,std,min,median_sample,max,skew_sample,abs_skew,high_skew
Subflow Bwd Bytes,431371,0,0,1632.8956559434919,106405.52038100133,0.0,0.0,58429504.0,149.5164076838013,149.5164076838013,True
Init Fwd Win Bytes,431371,0,0,2354.5395796193993,7791.79513563342,-1.0,-1.0,65535.0,8.455300351437998,8.455300351437998,True
Init Bwd Win Bytes,431371,0,0,794.4691298209661,5346.588212153354,-1.0,-1.0,65535.0,12.185346431428894,12.185346431428894,True
Fwd Act Data Packets,431371,0,0,21.893124479856088,54.55970868931987,0.0,15.0,18766.0,9.29347935341927,9.29347935341927,True
Fwd Seg Size Min,431371,0,0,-23154062.932450257,155175331.66504914,-1408237563.0,14.0,67240452.0,-6.578609956645691,6.578609956645691,True
Active Mean,431371,0,0,33709.05484559527,322311.55467943806,0.0,0.0,40508000.0,31.50153096097872,31.50153096097872,True
Active Std,431371,0,0,25636.971698682657,222654.08662870692,0.0,0.0,21352442.0,58.0526693523647,58.0526693523647,True
Active Max,431371,0,0,67571.81168646015,518373.2971276176,0.0,0.0,45536680.0,38.455043645218915,38.455043645218915,True
Active Min,431371,0,0,18683.632175088263,283200.81238777196,0.0,0.0,40508000.0,34.28301306881837,34.28301306881837,True
Idle Mean,431371,0,0,2449923.876239942,7914000.6100606695,0.0,0.0,119219448.0,13.382261711772175,13.382261711772175,True
Idle Std,431371,0,0,498326.2450110075,2005162.1646428204,0.0,0.0,69614024.0,51.29154235055999,51.29154235055999,True
Idle Max,431371,0,0,2971142.4115668414,9045316.69710931,0.0,0.0,119219448.0,13.232527611823327,13.232527611823327,True
Idle Min,431371,0,0,1993858.8204376278,7245552.146316339,0.0,0.0,119219448.0,13.73706721614383,13.73706721614383,True
